cnae_code,cnae_text,risk_tier,base_weight,sanitary_risk,fire_risk,environmental_risk,notes,source,is_active
47.89-0-01,Comércio varejista de suvenires  bijuterias e artesanatos,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.89-0-02,Comércio varejista de plantas e flores naturais,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.89-0-04,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,MEDIUM,25,MEDIUM,LOW,LOW,,calibrated_v1,true
47.89-0-06,Comércio varejista de fogos de artifício e artigos pirotécnicos,HIGH,55,LOW,HIGH,MEDIUM,,calibrated_v1,true
47.89-0-99,Comércio varejista de outros produtos não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
49.21-3-02,Transporte rodoviário coletivo de passageiros  com itinerário fixo  intermunicipal em região metropolitana,LOW,10,LOW,LOW,LOW,,bootstrap,true
49.23-0-02,Serviço de transporte de passageiros - locação de automóveis com motorista,LOW,10,LOW,LOW,LOW,,bootstrap,true
49.30-2-01,Transporte rodoviário de carga  exceto produtos perigosos e mudanças  municipal.,MEDIUM,30,LOW,MEDIUM,LOW,,calibrated_v1,true
49.30-2-02,Transporte rodoviário de carga  exceto produtos perigosos e mudanças  intermunicipal  interestadual e internacional,MEDIUM,35,LOW,MEDIUM,LOW,,calibrated_v1,true
49.30-2-03,Transporte rodoviário de produtos perigosos,HIGH,65,LOW,HIGH,HIGH,,calibrated_v1,true
52.12-5-00,Carga e descarga,MEDIUM,25,LOW,MEDIUM,LOW,,calibrated_v1,true
52.23-1-00,Estacionamento de veículos,LOW,10,LOW,LOW,LOW,,bootstrap,true
52.50-8-01,Comissaria de despachos,LOW,10,LOW,LOW,LOW,,bootstrap,true
52.50-8-04,Organização logística do transporte de carga,LOW,10,LOW,LOW,LOW,,bootstrap,true
56.11-2-01,Restaurantes e similares,HIGH,55,HIGH,MEDIUM,LOW,,calibrated_v1,true
56.11-2-03,Lanchonetes  casas de chá  de sucos e similares,MEDIUM,40,MEDIUM,MEDIUM,LOW,,calibrated_v1,true
56.11-2-04,Bares e outros estabelecimentos especializados em servir bebidas  sem entretenimento,MEDIUM,35,MEDIUM,MEDIUM,LOW,,calibrated_v1,true
56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,HIGH,50,HIGH,MEDIUM,LOW,,calibrated_v1,true
56.20-1-02,Serviços de alimentação para eventos e recepções - bufê,HIGH,50,HIGH,MEDIUM,LOW,,calibrated_v1,true
56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,MEDIUM,35,MEDIUM,LOW,LOW,,calibrated_v1,true
58.11-5-00,Edição de livros,LOW,10,LOW,LOW,LOW,,bootstrap,true
59.11-1-01,Estúdios cinematográficos,LOW,10,LOW,LOW,LOW,,bootstrap,true
59.11-1-02,Produção de filmes para publicidade,LOW,10,LOW,LOW,LOW,,bootstrap,true
59.11-1-99,Atividades de produção cinematográfica  de vídeos e de programas de televisão não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
59.20-1-00,Atividades de gravação de som e de edição de música,LOW,10,LOW,LOW,LOW,,bootstrap,true
60.10-1-00,Atividades de rádio,LOW,10,LOW,LOW,LOW,,bootstrap,true
62.01-5-01,Desenvolvimento de programas de computador sob encomenda,LOW,10,LOW,LOW,LOW,,bootstrap,true
62.01-5-02,Web desing,LOW,10,LOW,LOW,LOW,,bootstrap,true
62.02-3-00,Desenvolvimento e licenciamento de programas de computador customizáveis,LOW,10,LOW,LOW,LOW,,bootstrap,true
62.03-1-00,Desenvolvimento e licenciamento de programas de computador não-customizáveis,LOW,10,LOW,LOW,LOW,,bootstrap,true
